a tavola|à table|at the table
|un croissant|croissant
|un petit pain|roll
|Chez le patissier, on trouve ...|At the pastry chef's, you find ...
|des pâtisseries (f)|pastries
|un gâteau|cake
|un gâteau au chocolat|chocolate cake
|une tarte|tart
|une tarte aux pommes|apple tart
|une tarte au citron|lemon tart
|une tarte à la fraise|strawberry tart
|au café|at the café
|Au café, on commande ...|At the café, you order ...
|des boissons non-alcoolisées|non-alcoholic beverages
di caffè|du café|coffee
|du thé|tea
|du coca-cola|cola
d'acqua|de l'eau (f)|water
d'acqua minerale|de l'eau minérale|mineral water
|du jus de fruit|fruit juice
|des boissons alcoolisées|alcoholic beverages
di birra|de la bière|beer
|du champagne|champagne
di vino|du vin|wine
|du vin blanc (du blanc)|white wine
|du vin rosé (du rosé)|rosé wine
|du vin rouge (du rouge)|red wine
|un sandwich jambon beurre|sandwich with ham and butter
|un croque-monsieur|toasted cheese sandwich with ham
|un croque-madame|croque-monsieur with a fried egg
|une quiche (lorraine, au saumon, etc.)|quiche (lorraine, salmon, etc.)
|une omelette (aux fines herbes, au fromage)|omelette (with herbs, cheese)
|au restaurant|at the restaurant
|Au restaurant, on commande ...|At the restaurant, you order ...
un'aperitivo (m)|un apéritif (m)|before dinner drink
|une entrée (f)|appetizer / first course
una piatta principale|un plat principal|main course
|un dessert|dessert
|une boisson|drink, beverage
|des plats typiquement français|typical French dishes
|des entrées|appetizers
|des crudités (f)|raw vegetables plus vinaigrette
|une salade (avec des lardons, des noix, etc.)|salad (with bacon, nuts, etc.)
|de la soupe à l'oignon|onion soup
|des plats principaux|main courses
|du boeuf bourguignon|beef stewed in red wine
|du coq au vin|chicken (rooster) stewed in red wine
|un steak-frites|steak and French fries
|des desserts|desserts
|de la mousse au chocolat|chocolate mousse
|de la crème caramel|caramel custard
|de la crème brûlée|crème brûlée
|du fondant au chocolat|rich chocolate flourless cake
|expressions de quantité|expressions of quantity
|un peu de|a little
basta di|assez de|enough
tanto di|beaucoup de|a lot
troppo di|trop de|too much (too many)
|une cuillère de|a spoonful of
una bottiglia di|une bouteille de|a bottle of
|un pichet de|a pitcher of
un litro di|un litre de|a liter of
|50 grammes de|50 grams of
|un kilo de|a kilo of
|un morceau de|a piece of
|une tranche de|a slice of
|une boîte de|a can of
|un rôti de boeuf|a beef roast
|une côtelette de porc|a pork chop
|une douzaine d'oeufs|a dozen eggs
|adjectifs|adjectives
|délicieux / délicieuse|delicious
|frais / fraîche|fresh
|épicé(e)|spicy
|grillé(e)|grilled
|hâché(e)|chopped
|salé(e)|salty
dolce|sucré(e)|sweet
verbi|verbes|verbs
avete fame / avete sete|avoir faim / avoir soif|to be hungry / to be thirsty
bere|boire|to drink
|déjeuner|to have lunch
|dîner|to have dinner
|faire le marché|to go grocery shopping
|faire la cuisine|to cook
|prendre un repas|to have a meal
|faire la vaisselle|to do the dishes
ingrassare|grossir|to gain weight
|faire un régime|to be on a diet
perdere peso|maigrir|to lose weight
scegliere|choisir|to choose
finire|finir|to finish
|grandir|to grow up
|obéir à|to obey
|réfléchir à|to reflect (on)
|réussir à|to succeed
|croire|to believe
prendere|prendre|to take
|(apprendre à quelqu'un)|to learn
|apprendre|(to teach someone)
comprendere|comprendre|to understand
sorpprendere|surprendre|to surprise
